movie_id,GenderDominance
97,0
144,2
173,2
278,2
389,2
429,0
500,2
756,2
792,2
801,2
864,2
947,2
1091,2
1368,0
1370,2
1779,0
2292,0
4808,2
5925,2
8374,2
8963,2
9013,2
9367,0
9665,2
9746,0
10447,0
10669,0
10871,2
11165,2
11660,0
12238,0
14275,2
17585,2
21334,0
24746,0
25296,0
31225,0
35588,2
39256,0
47620,0
48233,0
48787,2
49235,0
51942,0
64802,2
117553,2
862,2
8844,0
31357,2
949,2
9091,2
710,2
9087,2
10858,2
1408,2
524,2
4584,2
5,1
9273,2
11517,2
8012,2
9691,2
451,0
9263,1
902,0
63,2
9598,1
687,2
9312,2
577,2
11861,1
807,2
10530,2
629,2
11448,2
10634,2
755,0
11859,2
36929,2
9102,2
400,2
10534,2
2086,2
9095,2
12158,2
9208,2
13685,0
9614,2
688,0
197,2
103,2
33542,0
78406,2
11066,0
2074,0
11863,2
11000,2
9737,2
22279,2
568,2
11780,2
414,2
5894,2
1775,2
8839,2
20649,0
10329,2
8068,2
8512,2
1572,2
6520,2
10428,2
9886,0
9482,2
9344,0
9071,2
2293,2
9070,2
1642,2
36196,2
11980,2
10533,2
10802,0
10149,2
9348,2
281,2
79593,1
3512,2
9560,0
9804,2
50797,2
76,0
11017,2
9382,0
1909,1
8984,0
8467,2
522,2
27303,2
1024,1
17207,2
628,2
87729,2
6280,0
11,0
18183,1
4476,2
28313,1
3036,2
17402,2
1945,0
241,2
6950,2
101,2
63020,2
680,2
12106,2
161495,2
3586,0
22586,2
2636,0
2164,2
11395,2
9067,0
193,2
25066,2
1587,0
9271,1
2064,1
236,1
3049,2
10497,0
9331,2
10731,2
9495,2
888,2
13,2
712,2
10879,2
8587,2
1689,0
11596,0
854,2
36593,1
2788,2
10427,2
1637,0
8831,2
36955,2
12160,2
26352,0
22067,2
11667,2
8011,2
2654,2
10436,1
46094,0
306,2
4722,0
1607,0
6075,2
9350,2
2124,2
9571,1
9739,2
9024,2
37233,2
1634,2
5503,0
2019,2
9255,2
9386,2
7984,0
329,2
10909,2
507,2
9593,2
10440,2
9516,2
2320,2
788,2
11231,2
9559,2
9800,2
713,2
8291,0
10872,2
1245,2
11858,2
5550,2
8005,2
2088,2
47889,0
14534,2
424,0
11592,0
8850,2
858,0
867,1
78,0
10442,2
9607,2
9057,2
9479,0
10057,2
11969,2
319,2
15139,2
771,2
251,1
812,2
280,2
581,0
268,2
274,0
408,2
10020,2
10895,2
114,2
576,2
275,2
8766,2
10112,2
1592,2
61752,2
10684,2
954,2
8840,2
10539,2
47502,2
2300,0
8069,2
40001,1
9103,2
12233,2
36355,2
11876,0
9100,1
40507,2
9802,2
664,2
10547,2
935,0
9826,2
9879,2
7095,1
627,2
602,2
9566,2
10545,2
9894,2
11543,2
9268,2
9327,2
11228,2
10779,2
26748,2
9294,2
11363,1
1645,2
18550,2
11962,2
2925,1
3595,2
12123,0
10830,1
3573,1
10546,2
9431,2
47907,2
10061,2
549,2
10478,2
66634,2
238,2
11134,0
88224,0
9303,2
11015,2
9306,2
10723,2
10987,0
872,1
2769,2
164,2
426,0
567,1
3078,2
213,2
284,2
239,0
289,2
963,2
11113,0
6620,2
804,0
630,0
770,0
599,0
15,0
62,0
705,1
22490,0
223,2
303,2
4174,2
381,2
1859,0
10907,2
1939,2
3080,0
1712,0
220,2
3529,2
2897,0
1585,0
3083,0
10331,2
488,2
261,2
22649,0
10861,2
1770,2
9333,2
9400,2
12241,0
11306,2
6346,2
11224,1
9078,2
8367,2
433,1
11360,0
12335,2
12092,2
10948,2
15121,1
562,0
10163,2
11159,0
41843,1
11412,2
10586,2
49471,2
38153,2
25147,2
454,2
10218,0
819,2
252,0
11561,2
11302,2
623,0
583,2
11575,2
475,2
521,2
88,0
8491,2
402,2
10537,2
11386,2
9504,2
15764,2
601,0
2119,2
744,2
702,0
21612,2
1630,2
11843,2
10379,2
2756,2
790,2
1103,2
11298,2
762,0
49763,2
892,2
409,2
10161,0
10409,2
10174,2
510,2
1891,0
2493,2
85,0
679,2
185,0
595,2
28,2
335,2
1892,0
769,0
348,2
11645,0
539,2
525,0
240,2
600,2
279,0
1578,2
703,2
9549,2
387,2
9277,2
218,0
763,1
379,0
207,2
37247,0
1480,2
826,2
829,2
3090,2
694,2
235,2
765,0
11778,0
137,2
33,2
982,2
105,2
1633,1
11202,2
149,0
8009,2
903,2
3034,2
339,0
914,2
288,2
665,2
11031,0
89,2
783,2
10644,2
11257,1
12104,2
625,0
830,2
642,2
655,0
639,0
8077,2
814,2
571,2
6114,0
9529,1
1598,0
7340,1
377,2
794,2
199,2
12498,2
9279,2
21539,0
12709,2
11674,1
1573,2
152,2
174,2
172,2
154,2
157,2
168,2
364,2
11967,2
621,1
9037,2
10173,2
8845,2
578,0
579,2
17692,0
75,2
13891,1
9390,2
378,2
9819,1
4232,2
9361,2
8818,0
34314,2
8860,2
9619,2
26306,2
66,2
11419,2
638,2
25624,2
9366,2
28005,0
9403,2
10003,2
1624,1
16052,0
4477,2
24662,1
6499,2
50512,0
9360,2
816,2
2163,2
18,0
330,2
1701,2
1639,2
415,2
11970,2
8874,0
266,2
754,2
607,2
17834,1
686,0
4421,2
9387,2
2142,2
8413,2
10336,2
20737,2
9413,1
8834,0
8854,2
4961,2
9772,2
6072,2
1669,2
2118,2
978,2
9437,2
10351,2
2649,2
14289,2
10155,2
68924,2
2255,2
9427,0
3597,2
1813,2
12628,2
33344,1
782,2
10890,2
1281,2
9770,2
12616,2
11975,2
4995,0
9281,2
563,2
19931,1
10215,2
9823,0
37165,2
4824,2
9444,0
9414,2
8078,2
11831,2
2639,0
9574,2
10371,1
489,0
9714,2
8197,2
6283,2
4233,1
10217,0
597,0
714,2
9922,2
547,2
184,0
115,2
9410,2
586,2
2666,2
11258,2
9490,2
25719,0
6116,2
9457,2
11702,2
11568,2
11003,2
10153,2
2898,1
9558,2
11808,2
42807,2
617,0
32456,1
17127,2
40688,2
2157,2
29193,2
795,2
9469,0
16148,0
78149,2
10622,0
10216,2
9448,2
8656,2
58680,2
18937,2
929,2
9452,2
1878,2
9844,0
1965,0
6068,0
15037,1
10674,2
846,2
3050,2
1389,2
9464,0
95,2
944,2
11551,2
473,0
544,2
65203,2
33680,2
56164,1
12311,2
34106,0
43266,2
27367,2
28580,2
887,0
33667,2
27191,2
11426,2
654,2
15919,2
1725,0
5769,1
874,2
10633,2
17917,2
3116,1
1051,2
1366,2
12102,2
9443,2
606,2
746,2
380,2
403,0
13820,2
13597,2
2108,2
10014,0
10072,2
10131,0
10160,0
11284,0
4488,2
9725,2
9728,0
9730,2
9731,2
10225,0
10281,1
10283,2
948,0
11281,2
10676,0
11357,2
11361,2
36599,0
10585,2
11186,2
11187,2
609,2
11133,0
10306,1
9552,2
11586,0
941,2
942,2
943,2
927,2
928,2
9340,2
9342,2
19,2
165,0
196,0
551,2
3170,2
346,0
859,0
841,2
11051,2
