movie_id,Seasonlaity
862,3
8844,0
31357,0
949,0
9091,0
710,1
9087,1
10858,0
1408,0
524,1
4584,0
5,0
9273,1
11517,1
8012,3
9691,3
451,3
9263,3
902,3
63,0
9598,2
687,0
9312,2
577,3
11861,3
807,3
10530,2
629,2
11448,3
10634,3
755,3
11859,1
36929,3
9102,3
400,0
10534,3
2086,1
9095,3
12158,3
9208,3
13685,3
9614,3
688,3
197,3
103,3
33542,3
78406,3
11066,2
2074,3
11863,3
11000,3
9737,3
22279,2
568,2
11780,3
414,2
5894,3
1775,2
8839,3
20649,3
10329,2
8963,3
8068,2
8512,3
1572,3
6520,2
10428,3
9886,3
9482,2
9344,2
9071,3
2293,3
9070,2
48787,3
1642,2
36196,2
11980,3
10533,3
10802,3
10149,2
9348,2
281,3
79593,3
3512,2
9560,2
9804,2
50797,3
76,3
11017,3
9382,3
2292,3
1909,3
8984,0
8467,0
522,3
27303,3
14275,3
1024,3
17207,3
628,1
87729,3
6280,1
11,3
18183,3
4476,0
28313,3
3036,1
17402,3
1945,0
241,2
6950,3
101,3
63020,3
680,3
25296,3
12106,3
161495,3
3586,0
22586,1
2636,3
2164,3
11395,1
278,3
9067,3
193,1
25066,3
1587,0
9271,2
2064,3
236,3
3049,3
10497,3
9331,2
10731,2
9495,3
888,3
13,2
712,3
10879,2
8587,2
1689,0
11596,3
854,2
36593,3
2788,3
10427,2
1637,2
8831,3
36955,2
12160,2
26352,1
22067,3
11667,0
8011,1
2654,0
10436,3
46094,3
306,3
4722,2
1607,3
117553,3
6075,1
9350,3
2124,2
9571,3
9739,3
9024,3
37233,2
1634,2
5503,2
35588,0
2019,2
9255,3
9386,2
7984,0
329,2
10909,3
507,3
9593,2
10440,2
9516,3
2320,3
788,1
11231,2
10447,3
9559,1
9800,0
713,3
8291,2
10872,3
1245,1
11858,2
5550,3
8005,2
2088,3
47889,3
14534,3
424,1
11592,3
8850,2
858,2
867,3
78,2
10442,2
9607,3
17585,3
9057,3
9479,3
10057,1
11969,0
319,3
15139,1
771,1
251,2
812,1
280,2
581,1
268,2
274,3
408,0
10020,1
10895,3
114,3
576,2
275,3
8766,3
10112,0
1592,3
61752,3
10684,2
954,3
8840,3
10539,3
47502,3
2300,1
8069,3
40001,3
9103,3
12233,1
36355,3
11876,3
9100,3
40507,3
9802,3
664,3
10547,2
935,2
9826,1
9879,3
7095,0
627,3
602,3
9566,2
10545,3
9894,2
11543,2
9268,2
9327,2
11228,3
10779,3
26748,0
9294,2
11363,2
1645,2
18550,3
11962,3
2925,2
3595,3
12123,2
10830,2
3573,2
10546,2
9431,2
47907,3
10061,3
549,2
10478,3
66634,2
238,3
11134,3
88224,3
9303,3
11015,2
9306,2
10723,2
10987,3
872,2
2769,0
164,2
426,3
567,3
3078,3
213,3
284,3
239,2
4808,2
289,3
963,0
11113,1
6620,1
804,3
630,3
770,1
599,0
15,3
62,2
705,3
22490,2
223,1
303,3
4174,2
381,0
1859,2
10907,3
1939,3
3080,2
1712,3
220,3
3529,3
2897,3
1585,3
3083,3
10331,0
488,3
261,0
10861,3
1770,3
9333,3
9400,3
12241,1
11306,2
6346,3
173,0
864,0
11224,3
9078,0
8367,0
433,1
11360,2
12335,3
12092,1
10948,3
15121,2
562,2
10163,3
